2020-04-06 16:11:14,137 INFO     Job started for command "classify" with arguments:
2020-04-06 16:11:14,138 INFO         {
2020-04-06 16:11:14,138 INFO             "classifier": "MPG Ranch NFC Coarse Classifier 3.0",
2020-04-06 16:11:14,139 INFO             "annotation_name": "Classification",
2020-04-06 16:11:14,139 INFO             "detectors": [
2020-04-06 16:11:14,139 INFO                 "Old Bird Thrush Detector Redux 1.1"
2020-04-06 16:11:14,139 INFO             ],
2020-04-06 16:11:14,139 INFO             "station_mics": [
2020-04-06 16:11:14,139 INFO                 "MSGR / 21c"
2020-04-06 16:11:14,139 INFO             ],
2020-04-06 16:11:14,139 INFO             "start_date": "2020-03-01",
2020-04-06 16:11:14,139 INFO             "end_date": "2020-04-30"
2020-04-06 16:11:14,139 INFO         }
2020-04-06 16:11:14,154 INFO     Creating TensorFlow estimator from saved model in directory "//anaconda3/envs/vesper-0.4.8/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Tseep Classifier/TensorFlow SavedModel"...
2020-04-06 16:11:14,154 WARNING  
The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
  * https://github.com/tensorflow/io (for I/O related ops)
If you depend on functionality not listed there, please file an issue.

2020-04-06 16:11:15,335 WARNING  Using temporary folder as model directory: /var/folders/2z/dlxt5tt50nzdlqlx1qvr1zdm0000gn/T/tmpwwpd9f0f
2020-04-06 16:11:15,341 WARNING  train mode not found in SavedModel.
2020-04-06 16:11:15,341 WARNING  eval mode not found in SavedModel.
2020-04-06 16:11:15,342 INFO     Loading classifier settings from "//anaconda3/envs/vesper-0.4.8/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Tseep Classifier/Settings.yaml"...
2020-04-06 16:11:15,357 INFO     Creating TensorFlow estimator from saved model in directory "//anaconda3/envs/vesper-0.4.8/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Thrush Classifier/TensorFlow SavedModel"...
2020-04-06 16:11:15,360 WARNING  Using temporary folder as model directory: /var/folders/2z/dlxt5tt50nzdlqlx1qvr1zdm0000gn/T/tmpwoh6hfyd
2020-04-06 16:11:15,363 WARNING  train mode not found in SavedModel.
2020-04-06 16:11:15,363 WARNING  eval mode not found in SavedModel.
2020-04-06 16:11:15,363 INFO     Loading classifier settings from "//anaconda3/envs/vesper-0.4.8/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Thrush Classifier/Settings.yaml"...
2020-04-06 16:11:15,383 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-01.
2020-04-06 16:11:15,385 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-04-06 16:11:15,388 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-02.
2020-04-06 16:11:15,389 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-04-06 16:11:15,391 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-03.
2020-04-06 16:11:15,393 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-04-06 16:11:15,394 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-04.
2020-04-06 16:11:15,396 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-04-06 16:11:15,405 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-05.
2020-04-06 16:11:15,407 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-04-06 16:11:15,409 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-06.
2020-04-06 16:11:15,410 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-04-06 16:11:15,412 INFO     Classifier will visit 1181 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-07.
2020-04-06 16:11:16,632 INFO     Classified 0 of 1181 visited clips in 1.2 seconds, an average of 984.2 clips per second.
2020-04-06 16:11:16,635 INFO     Classifier will visit 955 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-08.
2020-04-06 16:11:17,636 INFO     Classified 0 of 955 visited clips in 1.0 seconds, an average of 955.0 clips per second.
2020-04-06 16:11:17,639 INFO     Classifier will visit 1707 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-09.
2020-04-06 16:11:19,313 INFO     Classified 0 of 1707 visited clips in 1.7 seconds, an average of 1004.1 clips per second.
2020-04-06 16:11:19,316 INFO     Classifier will visit 2460 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-10.
2020-04-06 16:11:21,824 INFO     Classified 0 of 2460 visited clips in 2.5 seconds, an average of 984.0 clips per second.
2020-04-06 16:11:21,828 INFO     Classifier will visit 1587 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-11.
2020-04-06 16:11:23,441 INFO     Classified 0 of 1587 visited clips in 1.6 seconds, an average of 991.9 clips per second.
2020-04-06 16:11:23,444 INFO     Classifier will visit 1719 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-12.
2020-04-06 16:11:25,126 INFO     Classified 0 of 1719 visited clips in 1.7 seconds, an average of 1011.2 clips per second.
2020-04-06 16:11:25,129 INFO     Classifier will visit 2895 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-13.
2020-04-06 16:11:27,982 INFO     Classified 0 of 2895 visited clips in 2.9 seconds, an average of 998.3 clips per second.
2020-04-06 16:11:27,985 INFO     Classifier will visit 1850 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-14.
2020-04-06 16:11:29,806 INFO     Classified 0 of 1850 visited clips in 1.8 seconds, an average of 1027.8 clips per second.
2020-04-06 16:11:29,809 INFO     Classifier will visit 1541 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-15.
2020-04-06 16:11:31,370 INFO     Classified 0 of 1541 visited clips in 1.6 seconds, an average of 963.1 clips per second.
2020-04-06 16:11:31,373 INFO     Classifier will visit 2838 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-16.
2020-04-06 16:11:34,144 INFO     Classified 0 of 2838 visited clips in 2.8 seconds, an average of 1013.6 clips per second.
2020-04-06 16:11:34,147 INFO     Classifier will visit 1749 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-17.
2020-04-06 16:11:36,013 INFO     Classified 0 of 1749 visited clips in 1.9 seconds, an average of 920.5 clips per second.
2020-04-06 16:11:36,016 INFO     Classifier will visit 1460 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-18.
2020-04-06 16:11:37,464 INFO     Classified 0 of 1460 visited clips in 1.4 seconds, an average of 1042.9 clips per second.
