2020-03-15 17:55:03,322 INFO     Job started for command "classify" with arguments:
2020-03-15 17:55:03,323 INFO         {
2020-03-15 17:55:03,323 INFO             "classifier": "MPG Ranch NFC Coarse Classifier 3.0",
2020-03-15 17:55:03,323 INFO             "annotation_name": "Classification",
2020-03-15 17:55:03,324 INFO             "detectors": [
2020-03-15 17:55:03,324 INFO                 "Old Bird Tseep Detector Redux 1.1"
2020-03-15 17:55:03,325 INFO             ],
2020-03-15 17:55:03,326 INFO             "station_mics": [
2020-03-15 17:55:03,326 INFO                 "MSGR / 21c"
2020-03-15 17:55:03,326 INFO             ],
2020-03-15 17:55:03,326 INFO             "start_date": "2020-03-14",
2020-03-15 17:55:03,326 INFO             "end_date": "2020-03-30"
2020-03-15 17:55:03,326 INFO         }
2020-03-15 17:55:03,342 INFO     Creating TensorFlow estimator from saved model in directory "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Tseep Classifier/TensorFlow SavedModel"...
2020-03-15 17:55:08,143 WARNING  Using temporary folder as model directory: /var/folders/2z/dlxt5tt50nzdlqlx1qvr1zdm0000gn/T/tmpv7qbhi97
2020-03-15 17:55:08,147 WARNING  train mode not found in SavedModel.
2020-03-15 17:55:08,147 WARNING  eval mode not found in SavedModel.
2020-03-15 17:55:08,147 INFO     Loading classifier settings from "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Tseep Classifier/Settings.yaml"...
2020-03-15 17:55:08,157 INFO     Creating TensorFlow estimator from saved model in directory "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Thrush Classifier/TensorFlow SavedModel"...
2020-03-15 17:55:08,158 WARNING  Using temporary folder as model directory: /var/folders/2z/dlxt5tt50nzdlqlx1qvr1zdm0000gn/T/tmpf8deiq9z
2020-03-15 17:55:08,161 WARNING  train mode not found in SavedModel.
2020-03-15 17:55:08,161 WARNING  eval mode not found in SavedModel.
2020-03-15 17:55:08,162 INFO     Loading classifier settings from "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Thrush Classifier/Settings.yaml"...
2020-03-15 17:55:08,177 INFO     Classifier will visit 1518 clips for detector "Old Bird Tseep Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-14.
2020-03-15 17:55:33,516 INFO     Classified 1518 of 1518 visited clips in 25.3 seconds, an average of 60.0 clips per second.
2020-03-15 17:55:33,525 INFO     Classifier will visit 0 clips for detector "Old Bird Tseep Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-15.
2020-03-15 17:55:33,529 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-15 17:55:33,532 INFO     Classifier will visit 0 clips for detector "Old Bird Tseep Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-16.
2020-03-15 17:55:33,533 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-15 17:55:33,537 INFO     Classifier will visit 0 clips for detector "Old Bird Tseep Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-17.
2020-03-15 17:55:33,542 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-15 17:55:33,545 INFO     Classifier will visit 0 clips for detector "Old Bird Tseep Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-18.
2020-03-15 17:55:33,546 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-15 17:55:33,548 INFO     Classifier will visit 0 clips for detector "Old Bird Tseep Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-03-19.
2020-03-15 17:55:33,551 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
