2020-04-02 09:37:58,732 INFO     Job started for command "detect" with arguments:
2020-04-02 09:37:58,733 INFO         {
2020-04-02 09:37:58,734 INFO             "detectors": [
2020-04-02 09:37:58,734 INFO                 "Old Bird Thrush Detector Redux 1.1"
2020-04-02 09:37:58,734 INFO             ],
2020-04-02 09:37:58,734 INFO             "stations": [
2020-04-02 09:37:58,734 INFO                 "MSGR"
2020-04-02 09:37:58,735 INFO             ],
2020-04-02 09:37:58,735 INFO             "start_date": "2020-04-01",
2020-04-02 09:37:58,735 INFO             "end_date": "2020-04-30",
2020-04-02 09:37:58,735 INFO             "schedule": "",
2020-04-02 09:37:58,735 INFO             "defer_clip_creation": false
2020-04-02 09:37:58,735 INFO         }
2020-04-02 09:37:58,747 INFO     This command will process recordings for 1 station-night.
2020-04-02 09:37:58,748 INFO     Processing recordings for station-night 1 of 1 - "MSGR 2020-04-01"...
2020-04-02 09:37:58,751 INFO         Processing recording 1 of 1 - "MSGR / PC / start 2020-04-02 00:44:31+00:00 / duration 8.757 h"...
2020-04-02 09:37:58,756 INFO             Running detector on file "/Volumes/Erebus/msgr-vesper-archive/Recordings/MSGR_2020-04-02_00.44.31_Z.wav"...
2020-04-02 09:39:17,935 INFO             Created 1644 clips from detector "Old Bird Thrush Detector Redux 1.1".
2020-04-02 09:39:17,935 INFO             Ran 1 detector on 31526 seconds of 1-channel audio in 79 seconds, 398 times faster than real time.
2020-04-02 09:39:17,986 INFO     Job completed.
